diagnosis_code,diagnosis_desc,fce,admissions,emergency,waiting_list,mean_los_days,mean_age,year,baseline_admissions,baseline_waiting,pct_change_admissions,pct_change_waiting,backlog_trap
H25-H28,Disorders of lens (including cataracts),230160,230160,1121,221207,1.8,75,1999,456184,436982,-49.54667415,-49.3784641,FALSE
H40-H42,Glaucoma,16126,16126,2541,12815,2,68,1999,24607,22414,-34.46580241,-42.82591238,FALSE
H60-H95,Diseases of the ear and mastoid process,91959,91959,12351,77033,1.8,23,1999,84407,52226,8.947125238,47.49932984,FALSE
I00-I09,Rheumatic heart disease,5279,5279,1013,2866,11,64,1999,10374,7223,-49.11316753,-60.32119618,FALSE
I10-I15,Hypertensive diseases,21644,21644,8004,4505,6.9,62,1999,23783,2280,-8.993819114,97.5877193,FALSE
I20-I25,Ischaemic heart diseases,364168,364168,189160,80270,6.7,66,1999,261119,97302,39.46438214,-17.50426507,FALSE
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,22873,22873,14958,922,10.4,63,1999,37907,4020,-39.66022107,-77.06467662,FALSE
I30-I52,Other forms of heart disease,259824,259824,149237,36428,9.7,70,1999,315197,93243,-17.56774335,-60.93218794,FALSE
I60-I69,Cerebrovascular diseases,144221,144221,81819,7481,25.1,73,1999,111035,6188,29.88787319,20.89528119,FALSE
I70-I79,"Diseases of arteries, arterioles & capillaries",76370,76370,19087,39711,10.1,68,1999,63831,32256,19.6440601,23.11197917,FALSE
I80-I89,Diseases of veins & lymphatic system nec.,152099,152099,37131,96346,4.5,52,1999,92570,44011,64.30701091,118.9134535,FALSE
I95-I99,Other & unspecified disorders of the circulatory system,11021,11021,6593,1072,11.3,73,1999,31408,2880,-64.91021396,-62.77777778,FALSE
J00-J06,Acute upper respiratory infections,84330,84330,75258,5836,1.4,9,1999,161783,26977,-47.87462218,-78.36675687,FALSE
J10-J18,Influenza & pneumonia,108226,108226,75987,1745,12.6,62,1999,290880,3167,-62.79359186,-44.90053679,FALSE
J20-J22,Other acute lower respiratory infections,126976,126976,98908,1646,8.4,48,1999,180764,2259,-29.75592485,-27.13590084,FALSE
J30-J39,Other diseases of upper respiratory tract,141480,141480,9732,128020,1.5,29,1999,107638,81531,31.44056932,57.02002919,FALSE
J40-J47,Chronic lower respiratory diseases,221736,221736,161786,5917,7.5,54,1999,238267,13856,-6.938014916,-57.29647806,FALSE
J60-J70,Lung diseases due to external agents,5063,5063,2943,224,15.5,66,1999,27790,730,-81.78121626,-69.31506849,FALSE
J80-J99,Other diseases of the respiratory system,54065,54065,27314,8899,10.1,60,1999,87306,24605,-38.07413007,-63.83255436,FALSE
K00-K14,"Diseases of oral cavity, salivary glands & jaws",178063,178063,7310,163798,1.7,30,1999,261727,226140,-31.96613265,-27.56787831,FALSE
K20-K31,Diseases of oesophagusstomach & duodenum,339230,339230,45889,200985,7.1,57,1999,,,,,FALSE
K35-K38,Diseases of appendix,38245,38245,34689,801,4.2,28,1999,47892,1585,-20.14323895,-49.4637224,FALSE
K40-K46,Hernia,157458,157458,15907,129130,3.2,54,1999,205256,169908,-23.28701719,-24.00004708,FALSE
K50-K52,Noninfective enteritis & colitis,115820,115820,53104,37975,6.3,41,1999,256561,128206,-54.85673972,-70.37970142,FALSE
K55-K63,Other diseases of intestines,243700,243700,90720,109719,6.6,55,1999,646953,416865,-62.33111215,-73.67996834,FALSE
K65-K67,Diseases of peritoneum,7572,7572,3868,1863,10.7,54,1999,9087,3064,-16.67216903,-39.19712794,FALSE
K70-K77,Diseases of liver,26726,26726,11615,5053,11.6,53,1999,48952,14543,-45.40366073,-65.25476174,FALSE
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",121429,121429,47910,48277,6.3,57,1999,213979,92559,-43.2519079,-47.84191705,FALSE
